extraction_id,evidence_role_type,identified_occupation,activity_description_in_pad,skills_needed_for_activity,source_material_quote,project_id,section_id,pad_id,combined_text
6,inferred,Civil Engineer,Design and oversee construction of the run-of-river hydropower facility components and associated transmission facilities connecting the plant to national grids.,"['hydropower civil design', 'tunnel and dam engineering', 'earthworks and excavation management', 'geotechnical assessment', 'construction supervision']","The project will construct : (i) a run-of-river hydropower facility with envisaged installed capacity of 80 MW consisting of the power station and hydraulic infrastructure (power generation facilities, intake, headrace tunnel, surge shaft/chamber, powerhouse and tailrace channel) and (ii) transmission facilities connecting the hydroelectric power plant of Rusumo Falls to the national grids of Rwanda and Burundi, and supply electricity to the western provinces of Tanzania, which are currently not connected to the country's national grid.",P075941,7,098,"Civil Engineer Design and oversee construction of the run-of-river hydropower facility components and associated transmission facilities connecting the plant to national grids. hydropower civil design, tunnel and dam engineering, earthworks and excavation management, geotechnical assessment, construction supervision"
7,inferred,Electrical Engineer,Design and commission the outdoor substation and associated high-voltage connections to relay power from the power station to the national grids.,"['substation design', 'power system protection', 'high-voltage transmission design', 'commissioning and testing', 'electrical safety']",A 220-KV outdoor substation will provide the means by which the power station will relay its power to the national grids of the beneficiary countries.,P075941,7,099,"Electrical Engineer Design and commission the outdoor substation and associated high-voltage connections to relay power from the power station to the national grids. substation design, power system protection, high-voltage transmission design, commissioning and testing, electrical safety"
1,explicit,Project Manager,Head the Rusumo Project Implementation Unit and reinforce the Unit's oversight capability for project implementation.,"['project leadership', 'construction program oversight', 'stakeholder coordination', 'reporting and monitoring']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,100,"Project Manager Head the Rusumo Project Implementation Unit and reinforce the Unit's oversight capability for project implementation. project leadership, construction program oversight, stakeholder coordination, reporting and monitoring"
2,explicit,Civil Engineer,Serve as a senior project engineer within the Rusumo Project Implementation Unit supporting construction and technical oversight.,"['civil works design review', 'construction supervision', 'contractor interface management', 'site quality assurance']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,101,"Civil Engineer Serve as a senior project engineer within the Rusumo Project Implementation Unit supporting construction and technical oversight. civil works design review, construction supervision, contractor interface management, site quality assurance"
3,explicit,Electrical Engineer,"Act as a senior project engineer for electrical works within the Rusumo Project Implementation Unit, supporting design and construction oversight of electrical and electro-mechanical components.","['electro-mechanical systems design', 'substation and switchyard oversight', 'installation supervision', 'technical interface coordination']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,102,"Electrical Engineer Act as a senior project engineer for electrical works within the Rusumo Project Implementation Unit, supporting design and construction oversight of electrical and electro-mechanical components. electro-mechanical systems design, substation and switchyard oversight, installation supervision, technical interface coordination"
4,explicit,Mechanical Engineer,Serve as a senior project engineer responsible for mechanical aspects of the power plant within the Rusumo Project Implementation Unit.,"['turbine and equipment oversight', 'mechanical installation supervision', 'equipment testing and commissioning', 'preventive maintenance planning']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,103,"Mechanical Engineer Serve as a senior project engineer responsible for mechanical aspects of the power plant within the Rusumo Project Implementation Unit. turbine and equipment oversight, mechanical installation supervision, equipment testing and commissioning, preventive maintenance planning"
5,explicit,Quantity Surveyor,Provide cost estimation and contract measurement services as part of the Rusumo Project Implementation Unit's technical staff.,"['bill of quantities preparation', 'cost control and forecasting', 'contract valuation', 'payment certification']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,104,"Quantity Surveyor Provide cost estimation and contract measurement services as part of the Rusumo Project Implementation Unit's technical staff. bill of quantities preparation, cost control and forecasting, contract valuation, payment certification"
6,explicit,Environmental and Social Specialist,"Support the Rusumo Project Implementation Unit on environmental and social assessment, management and safeguards compliance.","['environmental assessment', 'resettlement planning', 'stakeholder engagement', 'safeguards monitoring']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,105,"Environmental and Social Specialist Support the Rusumo Project Implementation Unit on environmental and social assessment, management and safeguards compliance. environmental assessment, resettlement planning, stakeholder engagement, safeguards monitoring"
7,explicit,Procurement Specialist,"Manage procurement processes and advise on contract procurement for goods, works and consulting services under the project.","['public procurement procedures', 'bid evaluation', 'contract management', 'procurement planning']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,106,"Procurement Specialist Manage procurement processes and advise on contract procurement for goods, works and consulting services under the project. public procurement procedures, bid evaluation, contract management, procurement planning"
8,explicit,Financial Management Specialist,"Provide financial-management oversight and support to ensure proper accounting, reporting and disbursement for the project.","['project accounting', 'financial reporting', 'budgeting and forecasting', 'funds flow management']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,107,"Financial Management Specialist Provide financial-management oversight and support to ensure proper accounting, reporting and disbursement for the project. project accounting, financial reporting, budgeting and forecasting, funds flow management"
9,explicit,Accounts and Logistics Assistant,Support day-to-day accounts maintenance and logistics functions for the Rusumo Project Implementation Unit.,"['bookkeeping', 'logistics coordination', 'document filing', 'payment processing']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,108,"Accounts and Logistics Assistant Support day-to-day accounts maintenance and logistics functions for the Rusumo Project Implementation Unit. bookkeeping, logistics coordination, document filing, payment processing"
10,explicit,Communications Specialist,"Handle communications, information, education and stakeholder engagement activities for the project.","['stakeholder communications', 'public consultations', 'information materials development', 'grievance handling support']","The Unit's oversight capability will be reinforced with a Project Manager as head of the Unit, senior project engineers (civil, electrical and mechanical), a quantity surveyor, environment and social specialists, a procurement specialist, a financial-management specialist, an accounts-and-logistics assistant, a communications specialist and other technical staff.",P075941,8,109,"Communications Specialist Handle communications, information, education and stakeholder engagement activities for the project. stakeholder communications, public consultations, information materials development, grievance handling support"
11,explicit,Owner's Engineer,"Provide overall project management and supervision of procurement, design, construction, and preparation of operation and maintenance and dam safety plans; coordinate implementation of Environmental and Social Management Plan and Resettlement Action Plan.","['project supervision', 'technical design review', 'procurement oversight', 'safeguards coordination', 'dam safety knowledge']","The RPIU will be supported by the Owner's Engineer who will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation of operation and maintenance plan of the power plant complex and dam safety plans; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP).",P075941,8,110,"Owner's Engineer Provide overall project management and supervision of procurement, design, construction, and preparation of operation and maintenance and dam safety plans; coordinate implementation of Environmental and Social Management Plan and Resettlement Action Plan. project supervision, technical design review, procurement oversight, safeguards coordination, dam safety knowledge"
12,explicit,Operations and Maintenance Contractor,Be competitively procured to operate and maintain the power plant and receive delegated authority to enforce Power Purchase Agreement obligations.,"['power plant operations', 'maintenance management', 'safety compliance', 'PPA enforcement']","The Rusumo Power Company shall, not later than six months prior to the commissioning of the Power Plant, procure through an International Competitive Bidding process the services of an operations and maintenance contractor.",P075941,8,111,"Operations and Maintenance Contractor Be competitively procured to operate and maintain the power plant and receive delegated authority to enforce Power Purchase Agreement obligations. power plant operations, maintenance management, safety compliance, PPA enforcement"
13,explicit,Independent Resettlement Expert,Conduct an audit one year after commissioning to monitor Resettlement Action Plan outcomes including surveys and consultations with displaced persons and define corrective actions.,"['resettlement monitoring', 'socioeconomic surveying', 'stakeholder consultation', 'reporting and recommendations']","One year after the commissioning of the power plant, the RPCL shall cause an audit to be conducted by an independent qualified resettlement expert to monitor the outcomes of the RAP, including a survey and consultation with Displaced Persons, and which audit shall also define any necessary action to address any shortcomings in the implementation of said RAP.",P075941,8,112,"Independent Resettlement Expert Conduct an audit one year after commissioning to monitor Resettlement Action Plan outcomes including surveys and consultations with displaced persons and define corrective actions. resettlement monitoring, socioeconomic surveying, stakeholder consultation, reporting and recommendations"
14,explicit,Site Supervisor,Serve as on-site supervisor as part of the Environmental and Social Management Unit construction-phase staffing to oversee environmental and social measures.,"['site oversight', 'environmental safeguards monitoring', 'health and safety supervision', 'contractor coordination']","ESMU staffing will be flexible but will include multidisciplinary expertise in environmental assessment and management, social assessment and management, as well as health and safety. The construction phase staffing will include 12 environmental and social professionals including site supervisors, plus additional specialists a needed.",P075941,8,113,"Site Supervisor Serve as on-site supervisor as part of the Environmental and Social Management Unit construction-phase staffing to oversee environmental and social measures. site oversight, environmental safeguards monitoring, health and safety supervision, contractor coordination"
15,explicit,Technical Auditor,Carry out annual technical audits to review compliance with the Environmental and Social Management Plan and the Rusumo Water Resources Management Plan.,"['technical audit methodology', 'safeguards compliance review', 'data analysis', 'audit reporting']","Annual technical audits will be conducted by an independent, technical auditor, who will review compliance with the ESMP and RWMP.",P075941,8,114,"Technical Auditor Carry out annual technical audits to review compliance with the Environmental and Social Management Plan and the Rusumo Water Resources Management Plan. technical audit methodology, safeguards compliance review, data analysis, audit reporting"
16,inferred,Dam Safety Engineer,"Perform dam-safety inspection, monitoring and technical analyses to ensure effective management of the water resources and structural safety during operations.","['dam safety analysis', 'instrumentation monitoring', 'structural inspection', 'emergency preparedness planning']","During operations, a competent private entity, which RPCL will select through a competitive and transparent procedure, will be responsible for proper operation and maintenance works, including regular dam-safety inspection and monitoring, and any relevant technical analyses to ensure effective management of the water resources used by the Project, in the context of the RWRMP.",P075941,8,115,"Dam Safety Engineer Perform dam-safety inspection, monitoring and technical analyses to ensure effective management of the water resources and structural safety during operations. dam safety analysis, instrumentation monitoring, structural inspection, emergency preparedness planning"
17,explicit,Finance and Administration Manager,Head the accounting unit and oversee the work of project finance officers and overall accounting for the project.,"['financial oversight', 'accounting policy application', 'team supervision', 'financial reporting']",NELSAP-CU has an accounting unit that is headed by the Finance and Administration Manager. This manager will be assisted by a Project Finance Officer who will be in charge of the daily maintenance of the project books of accounts and records.,P075941,8,116,"Finance and Administration Manager Head the accounting unit and oversee the work of project finance officers and overall accounting for the project. financial oversight, accounting policy application, team supervision, financial reporting"
18,explicit,Project Finance Officer,Maintain daily project books of accounts and records and support the Finance and Administration Manager in financial transactions and reporting.,"['bookkeeping', 'cash management', 'IFRS familiarity', 'financial record maintenance']",NELSAP-CU has an accounting unit that is headed by the Finance and Administration Manager. This manager will be assisted by a Project Finance Officer who will be in charge of the daily maintenance of the project books of accounts and records.,P075941,8,117,"Project Finance Officer Maintain daily project books of accounts and records and support the Finance and Administration Manager in financial transactions and reporting. bookkeeping, cash management, IFRS familiarity, financial record maintenance"
19,explicit,Procurement Officer,"Assist the Procurement Specialist and NELSAP Coordination Unit in executing procurement actions, record-keeping and procurement oversight for the project.","['procurement administration', 'bid documentation', 'record keeping', 'compliance monitoring']","These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.",P075941,8,118,"Procurement Officer Assist the Procurement Specialist and NELSAP Coordination Unit in executing procurement actions, record-keeping and procurement oversight for the project. procurement administration, bid documentation, record keeping, compliance monitoring"
20,explicit,Accountant,Prepare and maintain project financial records and assist in producing interim and annual financial statements in accordance with applicable standards.,"['financial statement preparation', 'ledger reconciliation', 'IFRS application', 'supporting documentation management']","These services will include: the Owner's Engineer, a consultant to conduct an exit survey of Project Affected Persons (PAPs), an nongovernmental organization (NGO) to the compensation process for the PAPs, the Project Manager, the Lead Environmental and Social Specialist, two social development and resettlement officer, the Environmental Management Officer, the Communication Officer, the Finance Officer, the Procurement Specialist, the Procurement Officer, the Civil Engineer, the Electrical Engineer, the Mechanical Engineer and the Accountant.",P075941,8,119,"Accountant Prepare and maintain project financial records and assist in producing interim and annual financial statements in accordance with applicable standards. financial statement preparation, ledger reconciliation, IFRS application, supporting documentation management"
21,inferred,Monitoring and Evaluation Specialist,Strengthen the Rusumo Project Implementation Unit's monitoring and evaluation capacity and manage collection and consolidation of monitoring data into periodic reports.,"['indicator design', 'data collection management', 'results reporting', 'database administration']",The RPIU will be responsible for the overall management and implementation of the project's M&E framework and additional support will be hired to strengthen the Unit's M&E capacity.,P075941,8,120,"Monitoring and Evaluation Specialist Strengthen the Rusumo Project Implementation Unit's monitoring and evaluation capacity and manage collection and consolidation of monitoring data into periodic reports. indicator design, data collection management, results reporting, database administration"
1,explicit,Procurement Specialist,Recruit a Procurement Specialist proficient in International Development Association project financing and procurement of works to support the project.,"['International Development Association procurement rules', 'procurement of works', 'bid evaluation', 'contract management', 'procurement documentation']",NELSAP CU will recruit a  Procurement  Specialist proficient in IDA project financing and  experience in  procurement of  works  to  support the project; Additional technical staff will be recruited to  support procurement  processing as  well  as  to  supervise the  Contractors and Consultants.,P075941,9,121,"Procurement Specialist Recruit a Procurement Specialist proficient in International Development Association project financing and procurement of works to support the project. International Development Association procurement rules, procurement of works, bid evaluation, contract management, procurement documentation"
2,inferred,Project Planner,Prepare and closely monitor the master project implementation schedule covering the power plant and transmission lines during project implementation.,"['project scheduling', 'construction sequencing', 'critical path analysis', 'monitoring and reporting', 'stakeholder coordination']",A master project implementation schedule (covering the  power plant and  transmission lines) will be  prepared and  closely monitored during project implementation.,P075941,9,122,"Project Planner Prepare and closely monitor the master project implementation schedule covering the power plant and transmission lines during project implementation. project scheduling, construction sequencing, critical path analysis, monitoring and reporting, stakeholder coordination"
3,explicit,Supervision Engineer,Recruit and deploy a supervision engineer with international experience to supervise preparatory and project works according to World Bank standards.,"['construction supervision', 'hydropower engineering', 'quality assurance', 'contract oversight', 'safeguards compliance']","The Rusumo  RPIU  is  recruiting  a supervision  engineer  with  international  experience which  helps  in  supervising  preparatory  and  project  works according  to  Bank standards, in  addition  to  having  adequate  staff  at  the  RPIU.",P075941,9,123,"Supervision Engineer Recruit and deploy a supervision engineer with international experience to supervise preparatory and project works according to World Bank standards. construction supervision, hydropower engineering, quality assurance, contract oversight, safeguards compliance"
4,inferred,Project Coordinator,Lead coordination mechanisms and develop the results framework to facilitate timely monitoring of project activities.,"['stakeholder coordination', 'results framework development', 'monitoring and evaluation', 'intergovernmental liaison', 'reporting']","Strong  coordination mechanisms,  led  by  the  Rusumo  RPIU  will  be put  in  place  and  the results  framework  is  developed  to  facilitate  timely  monitoring.",P075941,9,124,"Project Coordinator Lead coordination mechanisms and develop the results framework to facilitate timely monitoring of project activities. stakeholder coordination, results framework development, monitoring and evaluation, intergovernmental liaison, reporting"
5,inferred,Contract Manager,"Monitor procurement and contract implementation indicators during procurement and implementation, including bid evaluation periods, number of responses, contract management and variation orders, bid comparisons, and complaints.","['procurement monitoring', 'contract administration', 'variation order management', 'procurement data analysis', 'grievance tracking']","As part of  the  mitigation measures  against fraud and  corruption and  to  ensure maximum transparency and accountability over  the  use  of  Project's funds; during  the procurement and implementation period the  following will be  monitored: (a)  Bid  evaluation periods; - (b) Number of  responses to  bid  invitations; (c)  Contract management,  including number - of  variation orders; (c)  Comparison of lowest responsive bids against cost estimates; and (d) Nature  and  frequency of  complaints.",P075941,9,125,"Contract Manager Monitor procurement and contract implementation indicators during procurement and implementation, including bid evaluation periods, number of responses, contract management and variation orders, bid comparisons, and complaints. procurement monitoring, contract administration, variation order management, procurement data analysis, grievance tracking"
6,inferred,Water Resources Engineer,Serve on the water resources technical committee to ensure compliance with agreed operating regimes for the river and hydropower operations.,"['water resources management', 'hydrology analysis', 'operating regime compliance', 'intergovernmental coordination', 'water permit compliance']",A water resources technical committee will  be established  by  three  countries  to  ensure compliance with agreed operating  regimes.,P075941,9,126,"Water Resources Engineer Serve on the water resources technical committee to ensure compliance with agreed operating regimes for the river and hydropower operations. water resources management, hydrology analysis, operating regime compliance, intergovernmental coordination, water permit compliance"
7,inferred,Operations Manager,Manage operation of the project and be responsible for technical matters relating to the power plant.,"['power plant operations', 'operations planning', 'maintenance management', 'technical oversight', 'safety compliance']","The RPCL will own and operate the project itself, and will ultimately be responsible for managing all technical and financial matters relating to the project.",P075941,9,127,"Operations Manager Manage operation of the project and be responsible for technical matters relating to the power plant. power plant operations, operations planning, maintenance management, technical oversight, safety compliance"
8,inferred,Financial Manager,Manage the project's financial matters and provide financial oversight for the project owner.,"['financial management', 'budgeting and accounting', 'financial reporting', 'tariff and power purchase agreement understanding', 'debt management']","The RPCL will own and operate the project itself, and will ultimately be responsible for managing all technical and financial matters relating to the project.",P075941,9,128,"Financial Manager Manage the project's financial matters and provide financial oversight for the project owner. financial management, budgeting and accounting, financial reporting, tariff and power purchase agreement understanding, debt management"
